level_0,index,team,code,name,surname,laps,time,grand_prix,date
6,G,Red Bull Racing Renault,VET,Sebastian,Vettel,70,1:32:09.143,                         Canada                     ,09 Jun 2013
7,H,Mercedes,ROS,Nico,Rosberg,52,1:32:59.456,                         Great Britain                     ,30 Jun 2013
8,J,Red Bull Racing Renault,VET,Sebastian,Vettel,60,1:41:14.711,                         Germany                     ,07 Jul 2013
9,K,Mercedes,HAM,Lewis,Hamilton,70,1:42:29.445,                         Hungary                     ,28 Jul 2013
10,L,Red Bull Racing Renault,VET,Sebastian,Vettel,44,1:23:42.196,                         Belgium                     ,25 Aug 2013
11,I,Red Bull Racing Renault,VET,Sebastian,Vettel,53,1:18:33.352,                         Italy                     ,08 Sep 2013
12,M,Red Bull Racing Renault,VET,Sebastian,Vettel,61,1:59:13.132,                         Singapore                     ,22 Sep 2013
13,P,Red Bull Racing Renault,VET,Sebastian,Vettel,55,1:43:13.701,                         South Korea                     ,06 Oct 2013
14,R,Red Bull Racing Renault,VET,Sebastian,Vettel,53,1:26:49.301,                         Japan                     ,13 Oct 2013
15,S,Red Bull Racing Renault,VET,Sebastian,Vettel,60,1:31:12.187,                         India                     ,27 Oct 2013
16,V,Red Bull Racing Renault,VET,Sebastian,Vettel,55,1:38:06.106,                         Abu Dhabi                     ,03 Nov 2013
17,X,Red Bull Racing Renault,VET,Sebastian,Vettel,56,1:39:17.148,                         United States                      ,17 Nov 2013
18,Q,Red Bull Racing Renault,VET,Sebastian,Vettel,71,1:32:36.300,                         Brazil                     ,24 Nov 2013
0,A,Mercedes,ROS,Nico,Rosberg,57,1:32:58.710,                         Australia                     ,16 Mar 2014
1,B,Mercedes,HAM,Lewis,Hamilton,56,1:40:25.974,                         Malaysia                     ,30 Mar 2014
2,C,Mercedes,HAM,Lewis,Hamilton,57,1:39:42.743,                         Bahrain                     ,06 Apr 2014
3,D,Mercedes,HAM,Lewis,Hamilton,54,1:33:28.338,                         China                     ,20 Apr 2014
4,E,Mercedes,HAM,Lewis,Hamilton,66,1:41:05.155,                         Spain                     ,11 May 2014
5,F,Mercedes,ROS,Nico,Rosberg,78,1:49:27.661,                         Monaco                     ,25 May 2014
6,G,Red Bull Racing Renault,RIC,Daniel,Ricciardo,70,1:39:12.830,                         Canada                     ,08 Jun 2014
7,H,Mercedes,ROS,Nico,Rosberg,71,1:27:54.976,                         Austria                     ,22 Jun 2014
8,J,Mercedes,HAM,Lewis,Hamilton,52,2:26:52.094,                         Great Britain                     ,06 Jul 2014
9,K,Mercedes,ROS,Nico,Rosberg,67,1:33:42.914,                         Germany                     ,20 Jul 2014
10,L,Red Bull Racing Renault,RIC,Daniel,Ricciardo,70,1:53:05.058,                         Hungary                     ,27 Jul 2014
11,I,Red Bull Racing Renault,RIC,Daniel,Ricciardo,44,1:24:36.556,                         Belgium                     ,24 Aug 2014
12,M,Mercedes,HAM,Lewis,Hamilton,53,1:19:10.236,                         Italy                     ,07 Sep 2014
13,P,Mercedes,HAM,Lewis,Hamilton,60,2:00:04.795,                         Singapore                     ,21 Sep 2014
14,R,Mercedes,HAM,Lewis,Hamilton,44,1:51:43.021,                         Japan                     ,05 Oct 2014
15,S,Mercedes,HAM,Lewis,Hamilton,53,1:31:50.744,                         Russia                     ,21 Oct 2014
16,V,Mercedes,HAM,Lewis,Hamilton,56,1:40:04.785,                         United States                      ,02 Nov 2014
17,X,Mercedes,ROS,Nico,Rosberg,71,1:30:02.555,                         Brazil                     ,09 Nov 2014
18,Q,Mercedes,HAM,Lewis,Hamilton,55,1:39:02.619,                         Abu Dhabi                     ,23 Nov 2014
0,A,Mercedes,HAM,Lewis,Hamilton,58,1:31:54.067,                         Australia                     ,15 Mar 2015
1,B,Ferrari,VET,Sebastian,Vettel,56,1:41:05.793,                         Malaysia                     ,29 Mar 2015
2,C,Mercedes,HAM,Lewis,Hamilton,56,1:39:42.008,                         China                     ,12 Apr 2015
3,D,Mercedes,HAM,Lewis,Hamilton,57,1:35:05.809,                         Bahrain                     ,19 Apr 2015
